MY JARVIS - 24 Month Cost Model,,,,,,,,,,,
,,,,,,,,,,,
=== LLM COSTS ===,,,,,,,,,,,
Assumptions: Free user $0.25/mo (60% active) | Pro $0.70/mo (90% active) | Pro+ $2.50/mo (90% active) | 8% quarterly cost reduction,,,,,,,,,,,
Month,Free Users,Active Free (60%),Pro Users,Active Pro (90%),Pro+ Users,Active Pro+ (90%),Cost Multiplier,Free LLM Cost,Pro LLM Cost,Pro+ LLM Cost,Total LLM Cost
M1,194,116,5,5,1,1,1.000,29,4,3,35
M2,485,291,13,12,2,2,1.000,73,8,5,86
M3,970,582,26,23,4,4,1.000,146,16,10,172
M4,1728,1037,61,55,11,10,0.920,239,35,23,297
M5,2865,1719,115,104,20,18,0.920,395,67,41,504
M6,4750,2850,213,192,38,34,0.920,656,94,78,828
M7,6615,3969,327,294,58,52,0.846,840,146,110,1096
M8,9400,5640,510,459,90,81,0.846,1193,228,171,1592
M9,14025,8415,829,746,146,131,0.846,1781,371,277,2429
M10,18600,11160,1190,1071,210,189,0.778,2171,583,368,3121
M11,27900,16740,1785,1607,315,284,0.778,3257,874,553,4684
M12,46500,27900,2975,2678,525,473,0.778,5427,1458,920,7805
M13,55500,33300,3825,3443,675,608,0.716,5961,1724,1088,8773
M14,66600,39960,4590,4131,810,729,0.716,7153,2069,1306,10527
M15,78200,46920,5780,5202,1020,918,0.716,8399,2605,1644,12648
M16,92000,55200,6800,6120,1200,1080,0.659,9094,2823,1780,13697
M17,110400,66240,8160,7344,1440,1296,0.659,10913,3387,2136,16436
M18,138000,82800,10200,9180,1800,1620,0.659,13641,4233,2669,20543
M19,165600,99360,12240,11016,2160,1944,0.606,15053,4674,2946,22673
M20,197800,118680,14620,13158,2580,2322,0.606,17978,5581,3519,27078
M21,233325,139995,18424,16582,3251,2926,0.557,19499,6461,4075,30035
M22,274500,164700,21675,19508,3825,3443,0.557,22932,7603,4795,35330
M23,315675,189405,24926,22433,4399,3959,0.557,26378,8741,5512,40631
M24,366000,219600,28900,26010,5100,4590,0.557,30581,10137,6406,47124
,,,,,,,,,,,
=== INFRASTRUCTURE COSTS ===,,,,,,,,,,,
Month,Total Users,Base Infra,Scaling Infra ($25/1K users),Vector DB ($12/1K users),Zalo OA,Misc (domain/SSL),Cloud Credits Offset,Net Infra Cost,,,,
M1,200,300,5,2,5,10,-500,0,,,,
M2,500,300,13,6,5,10,-500,0,,,,
M3,1000,300,25,12,5,10,-500,0,,,,
M4,1800,300,45,22,5,10,-500,0,,,,
M5,3000,300,75,36,5,10,-500,0,,,,
M6,5000,300,125,60,5,10,-500,0,,,,
M7,7000,300,175,84,5,10,-400,174,,,,
M8,10000,300,250,120,5,10,-400,285,,,,
M9,15000,300,375,180,5,10,-400,470,,,,
M10,20000,300,500,240,5,10,-300,755,,,,
M11,30000,300,750,360,5,10,-300,1125,,,,
M12,50000,300,1250,600,5,10,-200,1965,,,,
M13,60000,400,1500,720,5,10,0,2635,,,,
M14,72000,400,1800,864,5,10,0,3079,,,,
M15,85000,400,2125,1020,5,10,0,3560,,,,
M16,100000,500,2500,1200,5,10,0,4215,,,,
M17,120000,500,3000,1440,5,10,0,4955,,,,
M18,150000,500,3750,1800,5,10,0,6065,,,,
M19,180000,600,4500,2160,5,10,0,7275,,,,
M20,215000,600,5375,2580,5,10,0,8570,,,,
M21,255000,700,6375,3060,5,10,0,10150,,,,
M22,300000,700,7500,3600,5,10,0,11815,,,,
M23,345000,800,8625,4140,5,10,0,13580,,,,
M24,400000,800,10000,4800,5,10,0,15615,,,,
,,,,,,,,,,,
=== TEAM COSTS ===,,,,,,,,,,,
Month,Headcount,Founder/CEO,Backend AI Eng,Frontend Eng,Growth Mkt,AI/ML Eng,DevOps,Designer,Community Mgr,Add'l Engineers,BD + CS,Total Team
M1,3,1500,2000,1500,0,0,0,0,0,0,0,5000
M2,3,1500,2000,1500,0,0,0,0,0,0,0,5000
M3,3,1500,2000,1500,0,0,0,0,0,0,0,5000
M4,5,1500,2000,1500,1200,2000,0,0,0,0,0,8200
M5,5,1500,2000,1500,1200,2000,0,0,0,0,0,8200
M6,5,1500,2000,1500,1200,2000,0,0,0,0,0,8200
